context_small,context_large,word,prev,prev_fav,fol,fol_fav,count,frequency_ppm,freq_log_ppm,hapax,stress,fav_count,FFC,transmission,modern_spa,latin_stop
" tanta alteracion de plazer, ","bi, senor, tanta alteracion de plazer, que qualquiera que me vie",plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
agrauando mi osadia: llamandome h,a su yra: agrauando mi osadia: llamandome hechizera: alcahueta: viej,llamandome,:,no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,palatalization,c
dizes: que el genero flaco d,eo lo que dizes: que el genero flaco de las hembras es mas apto,flaco,o,yes,a,yes,12,175.4206441,5.16718677,no,stressed,2,0.166666667,oral,preservation,f
"n mal haze, aborrece claridad: ","sabes quien mal haze, aborrece claridad: e yendo a mi casa podre h",claridad,e,yes,a,yes,7,102.3287091,4.628190269,no,unstressed,4,0.571428571,oral,preservation,c
"AL.--corre, Parmeno, llama a","e negar. CAL.--corre, Parmeno, llama a mi sastre: e corte luego",llama,",",no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
a recibio momento de plazer d,l que nunca recibio momento de plazer despues que aquella senora,plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
odos los sentidos le llegaron: ,onoscio: todos los sentidos le llegaron: todos acorrieron a el con,llegaron,e,yes,e,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,palatalization,p
. el otro via que le llamauan p,n su manto. el otro via que le llamauan por nombre: e murio dende ,llamauan,e,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,3,1,oral,palatalization,c
a saetas: vna lengua llena d,on que echa saetas: vna lengua llena de reproches e desuios. el,llena,a,yes,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
donde fue mi corazon llagado: ,uerta por donde fue mi corazon llagado: e que aquel es visto haze,llagado,n,no,a,yes,3,43.85516102,3.780892409,no,unstressed,1,0.333333333,oral,palatalization,p
tays la triaca de mi llaga. ,neys y tratays la triaca de mi llaga. ya no podran empecer las ,llaga,i,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
MP.--no afistoles tu llaga c,que yo. SEMP.--no afistoles tu llaga cargandola de mas desseo. ,llaga,u,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
tuyo para cerrar tus llagas. ,"no por el tuyo para cerrar tus llagas. pero si yo viuo, ella bol",llagas,s,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,palatalization,p
elibea. assi que se llamara m, lleuara Melibea. assi que se llamara manzana de concordia. Pues,llamara,e,yes,a,yes,2,29.23677401,3.375427301,no,unstressed,1,0.5,oral,palatalization,c
as. rayzes: ramas: e flores p,"radas yeruas. rayzes: ramas: e flores para hazer lexias, con que",flores,e,yes,o,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,f
solo vn poco de agua clara c,u pintor. solo vn poco de agua clara con vn eburneo peyne basta,clara,a,yes,a,yes,20,292.3677401,5.678012394,no,stressed,3,0.15,oral,preservation,c
 vaya con ella tanto plazer e,"su casa: e vaya con ella tanto plazer e alegria, quanta comigo q",plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ina va para su casa. llama a,no. Celestina va para su casa. llama a la puerta. Elicia le vie,llama,.,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
os puede faltar esta florezilla d,"nsays que os puede faltar esta florezilla de juuentud. Pues mira, am",florezilla,a,yes,o,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,preservation,f
mplida. PARM.--a que llamas r,"en edad complida. PARM.--a que llamas reposado, tia? CEL.--hijo,",llamas,e,yes,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,c
 que se perdiere: no llores t,ierdase lo que se perdiere: no llores tu la fazienda que tu amo ,llores,o,yes,o,yes,4,58.47354803,4.068574482,no,stressed,2,0.5,oral,palatalization,p
: como tu con el dia claro: ,che escura: como tu con el dia claro: dezia que aquella era cap,claro,a,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
nos sobre otros a su llamado. ,o venian vnos sobre otros a su llamado. no le osauan dezir mentir,llamado,u,no,a,yes,10,146.1838701,4.984865213,no,unstressed,5,0.5,oral,palatalization,c
"ieja, que ella me da plazer c","mas esta vieja, que ella me da plazer con estos loores de sus pa",plazer,a,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"i de caualleros como clerigos, ","erida: assi de caualleros como clerigos, casados / viejos / mozos ",clerigos,o,yes,e,yes,1,14.61838701,2.68228012,yes,stressed,1,1,written,preservation,c
n vna escalera en la plaza: ,edio dia en vna escalera en la plaza: puesto vno como rocadero ,plaza,a,yes,a,yes,8,116.9470961,4.761721662,no,stressed,7,0.875,oral,preservation,p
otro es el que ha de llorar l,"r, passe. otro es el que ha de llorar las necessidades, que no t",llorar,e,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
"U.--passo, madre. no llegues a","uelgo. AREU.--passo, madre. no llegues a mi: que me fazes coxquil",llegues,o,yes,e,yes,2,29.23677401,3.375427301,no,stressed,2,1,oral,palatalization,p
 / axiensos: humo de plumas d,oleo: ruda / axiensos: humo de plumas de perdiz: de romero / de ,plumas,e,yes,u,no,2,29.23677401,3.375427301,no,stressed,1,0.5,oral,preservation,p
lma sola ni canta ni llora. ,nda. vna alma sola ni canta ni llora. vn solo acto no haze habi,llora,i,no,o,yes,37,540.8803193,6.293198033,no,stressed,0,0,oral,palatalization,p
 buen tiempo te asi. llegate a,"e tengo. a buen tiempo te asi. llegate aca, negligente, vergonzos",llegate,.,no,e,yes,10,146.1838701,4.984865213,no,stressed,1,0.1,oral,palatalization,p
i erre aya perdon: e llegate m,.--madre si erre aya perdon: e llegate mas aca: y el haga lo que ,llegate,e,yes,e,yes,10,146.1838701,4.984865213,no,stressed,1,0.1,oral,palatalization,p
IC.--quien es? quien llama? ," ""tha"". ELIC.--quien es? quien llama? CEL.--baxame abrir, fija.",llama,n,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
andar de noche es tu plazer. , venidas. andar de noche es tu plazer. porque lo hazes? que larg,plazer,u,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"ndo seas de mi edad, lloraras l","nta. e quando seas de mi edad, lloraras la folgura de agora. que l",lloraras,",",no,o,yes,3,43.85516102,3.780892409,no,unstressed,0,0,oral,palatalization,p
onsejo: ayamos mucho plazer. ,iempo el consejo: ayamos mucho plazer. mientra oy touieremos de ,plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
o que no trocasse mi plazer p, ay ninguno que no trocasse mi plazer por sus dineros. dexemos c,plazer,i,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ue es esto que tanta claridad e,esce / o que es esto que tanta claridad esta en esta camara? AREU.,claridad,a,yes,a,yes,7,102.3287091,4.628190269,no,unstressed,4,0.571428571,oral,preservation,c
"enora, que es de dia claro: ","esto yo, senora, que es de dia claro: en ver entrar luz entre l",claro,a,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
"stina. AREU.--que me plaze, ","sa de Celestina. AREU.--que me plaze, de buen grado. ve con dio",plaze,e,yes,a,yes,88,1286.418057,7.159616935,no,stressed,3,0.034090909,oral,preservation,p
 te quedes. PARM.--o plazer s,M.--a dios te quedes. PARM.--o plazer singular / o singular aleg,plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ion sin compania. El plazer n,a la posesion sin compania. El plazer no comunicado no es plazer,plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
o comunicado no es plazer. ,l plazer no comunicado no es plazer. Quien sentiria esta mi di,plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"ios, no corrumpas mi plazer. ","ano: por dios, no corrumpas mi plazer. no mezcles tu yra con mi ",plazer,i,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
n tan turbia agua el claro l,o agues con tan turbia agua el claro liquor del pensamiento que,claro,l,no,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
as reprehensiones mi plazer. ,os e odiosas reprehensiones mi plazer. recibeme con alegria: e c,plazer,i,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ho: que no fincar vn clauo d, mi prouecho: que no fincar vn clauo de malicia a cada palabra.,clauo,n,no,a,yes,4,58.47354803,4.068574482,no,stressed,0,0,oral,preservation,c
" lo veo, nunca venir plazer s","speriencia lo veo, nunca venir plazer sin contraria zozobra en e",plazer,r,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
" alegres, serenos, e claros s","ida. a los alegres, serenos, e claros soles, nublados escuros e ",claros,e,yes,a,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,c
", nublados escuros e pluuias v","aros soles, nublados escuros e pluuias vemos suceder. a los solaz",pluuias,e,yes,u,no,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,p
"der. a los solazes e plazeres, ","vemos suceder. a los solazes e plazeres, dolores e muertes los ocu",plazeres,e,yes,a,yes,8,116.9470961,4.761721662,no,unstressed,3,0.375,oral,preservation,p
"as risas e deleytes, llantos e","cupan. a las risas e deleytes, llantos e lloros e passiones morta",llantos,",",no,a,yes,1,14.61838701,2.68228012,yes,stressed,0,0,oral,palatalization,p
 lloros e, llantos e lloros e passiones mortales los s,lloros,e,yes,o,yes,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,p
#NAME?,"ia? PARM.--pues que es todo el plazer que traygo, sino hauerla a",plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
 puede hablar. a que llamas h,de risa no puede hablar. a que llamas hauerla alcanzado? estaua ,llamas,e,yes,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,c
ste. no hiziste sino llegar e,ichoso fuiste. no hiziste sino llegar e recabdar. Por esto dizen,llegar,o,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
e Celestina: e si te plaze v,ara casa de Celestina: e si te plaze vamos todos alla. SEMP.--q,plaze,e,yes,a,yes,88,1286.418057,7.159616935,no,stressed,3,0.034090909,oral,preservation,p
ja e Elicia. auremos plazer. ,sta la vieja e Elicia. auremos plazer. SEMP.--o dios! e como me ,plazer,s,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"dizes, e nunca me ha llamado? ","ARM.--que dizes, e nunca me ha llamado? ni ha tenido memoria de m",llamado,a,yes,a,yes,10,146.1838701,4.984865213,no,unstressed,5,0.5,oral,palatalization,c
anco? PARM.--en casa llena p,riado e franco? PARM.--en casa llena presto se adereza cena. de,llena,a,yes,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
 Melibea: e veras la claridad: , vn poco a Melibea: e veras la claridad: que con la mucha que en s,claridad,a,yes,a,yes,7,102.3287091,4.628190269,no,unstressed,4,0.571428571,oral,preservation,c
"razon, hazen parecer claros m","didos por razon, hazen parecer claros mis consejos. Quisieras tu",claros,r,no,a,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,c
iera mercaduria a la plaza: ,tra qualquiera mercaduria a la plaza: en que no houiera mas tra,plaza,a,yes,a,yes,8,116.9470961,4.761721662,no,stressed,7,0.875,oral,preservation,p
uiera mas trabajo de llegar e," que no houiera mas trabajo de llegar e pagalla. Da, senor, aliu",llegar,e,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
iuas e enciendes las flamas q,que mas auiuas e enciendes las flamas que me consumen. Yo me voy,flamas,s,no,a,yes,1,14.61838701,2.68228012,yes,stressed,0,0,oral,palatalization,f
" a casa fasta que me llameys, ","no tornare a casa fasta que me llameys, pidiendome las albricias ",llameys,e,yes,a,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,palatalization,c
", entre si hablando. llegados a"," Celestina, entre si hablando. llegados alla, hallan a Elicia e Ar",llegados,.,no,e,yes,2,29.23677401,3.375427301,no,unstressed,0,0,oral,palatalization,p
", criada de Melibea, llamar a","e Lucrecia, criada de Melibea, llamar a Celestina, que vaya a es",llamar,",",no,a,yes,18,263.1309661,5.572651878,no,unstressed,6,0.333333333,oral,palatalization,c
l mejor / e como les llaman p,ion: e qual mejor / e como les llaman por nombre: porque quando ,llaman,s,no,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
uerta. en casa esta. llama a,"ierta su puerta. en casa esta. llama antes que entres, que por ",llama,.,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
raje al couarde / al floxo d,orido / coraje al couarde / al floxo diligencia / conforta los ,floxo,l,no,o,yes,3,43.85516102,3.780892409,no,stressed,0,0,written,preservation,f
"po, de asco de oyrte llamar a","en el cuerpo, de asco de oyrte llamar aquella gentil. Mirad quie",llamar,e,yes,a,yes,18,263.1309661,5.572651878,no,unstressed,6,0.333333333,oral,palatalization,c
reo que le tiene tan floxo c,"lo otro, creo que le tiene tan floxo como vieja de cincuenta an",floxo,n,no,o,yes,3,43.85516102,3.780892409,no,stressed,0,0,written,preservation,f
 no hagas agora esse plazer a,", a comer. no hagas agora esse plazer a estos locos porfiados: s",plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
i beuen: ni rien: ni lloran: ,i comen: ni beuen: ni rien: ni lloran: ni duermen: ni velan: ni ,lloran,i,no,o,yes,8,116.9470961,4.761721662,no,stressed,0,0,oral,palatalization,p
quella dulce e fiera llaga d,xidad de aquella dulce e fiera llaga de sus corazones. E si alg,llaga,a,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
"--madre, a la puerta llaman: ","esa. ELIC.--madre, a la puerta llaman: el solaz es derramado. CE",llaman,a,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
e jamas me precie de llamarme d,onocer: que jamas me precie de llamarme de otrie: sino mia: mayorm,llamarme,e,yes,a,yes,2,29.23677401,3.375427301,no,unstressed,2,1,oral,palatalization,c
"cia? quien perdio el plato, ","e esto, necia? quien perdio el plato, desalinada? como falto el",plato,l,no,a,yes,1,14.61838701,2.68228012,yes,stressed,0,0,oral,preservation,p
 pueda sofrillas. su plazer e,. no quien pueda sofrillas. su plazer es dar bozes. su gloria es,plazer,u,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
az: que toda la casa llena d, pan con paz: que toda la casa llena de viandas con renzilla. m,llena,a,yes,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
" sus alcaduzes: vnos llenos, ","eda: rodee sus alcaduzes: vnos llenos, otros vazios. Ley es de f",llenos,s,no,e,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,palatalization,p
us grados. Mi honrra llego a,"do tiene sus grados. Mi honrra llego a la cumbre, segun quien y",llego,a,yes,e,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,p
obi: para decender / floresci /,n se que sobi: para decender / floresci / para secarme / goze / pa,floresci,/,no,o,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,preservation,f
 a derechas. Vnos me llamauan s,dezia cosa a derechas. Vnos me llamauan senora: otros tia: otros e,llamauan,e,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,3,1,oral,palatalization,c
me hablauan: como la clerezia e,"otros que me hablauan: como la clerezia era grande, hauia de todos",clerezia,a,yes,e,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,written,preservation,c
nassen: e apenas era llegada a," me acompanassen: e apenas era llegada a mi casa, quando entrauan",llegada,a,yes,e,yes,5,73.09193504,4.291718033,no,unstressed,2,0.4,oral,palatalization,p
omos venidas a hauer plazer: ,"os, pues somos venidas a hauer plazer: no llores, madre, ni te f",plazer,r,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"no llores, ","r plazer: no llores, madre, ni te fatigues: qu",llores,r,no,a,yes,4,58.47354803,4.068574482,no,stressed,2,0.5,oral,palatalization,p
"rto tengo, hija, que llorar: ",". CEL.--harto tengo, hija, que llorar: acordandome a tan alegre ",llorar,e,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
ue nos has sacado el plazer d,i agora: que nos has sacado el plazer dentre las manos. Alcese l,plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
uerza a descobrir mi llaga: ,enir por fuerza a descobrir mi llaga: quando no me sea agradeci,llaga,i,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
odos los atribulados llaman. ,a ti que todos los atribulados llaman. los apassionados piden re,llaman,s,no,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
s piden remedio. los llagados m,passionados piden remedio. los llagados medicina. a ti que los cie,llagados,s,no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,palatalization,p
a. Mejor crescen las plantas q,a la melena. Mejor crescen las plantas que tiernas e nueuas se tr,plantas,s,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,preservation,p
ncio tregua entre tu llaga e,o: el silencio tregua entre tu llaga e mi melezina. assi que se,llaga,u,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
ntos que lastiman lo llagado: ,asperos puntos que lastiman lo llagado: doblan la passion: que no,llagado,o,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,1,0.333333333,oral,palatalization,p
tigua maestra destas llagas. ,ar a la antigua maestra destas llagas. MELIB.--o como me muero c,llagas,s,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,palatalization,p
os zurujanos que los flacos c,los animosos zurujanos que los flacos corazones: los quales con ,flacos,s,no,a,yes,5,73.09193504,4.291718033,no,stressed,1,0.2,oral,preservation,f
"nde se puede conocer claro,""","ja. por donde se puede conocer claro,"" lo que yo digo es que es",claro,r,no,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
necessario traer mas clara m,odavia es necessario traer mas clara melezina: e mas saludable ,clara,s,no,a,yes,20,292.3677401,5.678012394,no,stressed,3,0.15,oral,preservation,c
abajo es perdido: tu llaga e,nuestro trabajo es perdido: tu llaga es grande: tiene necessida,llaga,u,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
lestia se cura: e vn clauo c,sto sin molestia se cura: e vn clauo con otro se espele: e vn d,clauo,n,no,a,yes,4,58.47354803,4.068574482,no,stressed,0,0,oral,preservation,c
"ible aguja, que, sin llegar a","esta inuisible aguja, que, sin llegar a ti, sientes en solo ment",llegar,n,no,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
LIB.--como dizes que llaman a, curar. MELIB.--como dizes que llaman a este mi dolor? que assi ,llaman,e,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
ndido. vna agradable llaga. ,fuego escondido. vna agradable llaga. vn sabroso veneno. vna du,llaga,e,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
o el alto dios da la llaga: , que quando el alto dios da la llaga: tras ella embia el remedi,llaga,a,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
al mundo nascida vna flor q,que se yo al mundo nascida vna flor que de todo esto te delibr,flor,a,yes,o,yes,16,233.8941921,5.454868843,no,stressed,2,0.125,oral,preservation,f
bre. MELIB.--como se llama? ,to te delibre. MELIB.--como se llama? CEL.--no te lo oso dezir.,llama,e,yes,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
lor alegre? abre tus claros o,"s de tu color alegre? abre tus claros ojos. Lucrecia, Lucrecia: ",claros,s,no,a,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,c
do han tus puntos mi llaga: ,gre. cerrado han tus puntos mi llaga: venida soy en tu querer. ,llaga,i,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
ora tengo sentida tu llaga: ,ntes de agora tengo sentida tu llaga: e calado tu desseo: hame ,llaga,u,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
emaua: tanto mas sus llamas s, que te quemaua: tanto mas sus llamas se manifestauan / en la co,llamas,s,no,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,f
as manos senales muy claras d,de entre las manos senales muy claras de pena. pero como en los ,claras,y,no,a,yes,4,58.47354803,4.068574482,no,stressed,0,0,oral,preservation,c
a: ni la recibas con plazer. ,n su venida: ni la recibas con plazer. halle en ti onestidad en ,plazer,n,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
to. va para su casa. llama a,a de Calisto. va para su casa. llama a la puerta. Elicia le vie,llama,.,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
"A. CEL.--Ay dios, si llegasse a","ENO. ELICIA. CEL.--Ay dios, si llegasse a mi casa con mi mucha ale",llegasse,i,no,e,yes,2,29.23677401,3.375427301,no,unstressed,0,0,oral,palatalization,p
s: que al muy deuoto llaman y," en lenguas: que al muy deuoto llaman ypocrita: que diran, sino ",llaman,o,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
 PARM.--cadenilla la llama? ,"i alegria. PARM.--cadenilla la llama? no lo oyes, Sempronio? no",llama,a,yes,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
"or Calisto, para tan flaca v"," CEL.--senor Calisto, para tan flaca vieja como yo: mucha franq",flaca,n,no,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
 la suya. Melibea se llama t,ona que en la suya. Melibea se llama tuya: e esto tiene por tit,llama,e,yes,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
del mundo. Que haria llanas l,ado galan del mundo. Que haria llanas las penas para andar: que ,llanas,a,yes,a,yes,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,p
"a, tha. ELIC.--quien llama? ",". CEL.--tha, tha. ELIC.--quien llama? CEL.--abre, hija Elicia. ",llama,n,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
s sano: que anda por llano. ,quel va mas sano: que anda por llano. Mas quiero ensuziar mis z,llano,r,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,palatalization,p
le primero Lucrecia. llama a,sto. Hablale primero Lucrecia. llama a Melibea. Apartase Lucrec,llama,.,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
"la calle, despierta. llama a"," hauia en la calle, despierta. llama a su muger Alisa. Pregunta",llama,.,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
 CAL.--a buen tiempo llegamos. ,"a estamos. CAL.--a buen tiempo llegamos. Parate tu, Parmeno, a ver",llegamos,o,yes,e,yes,2,29.23677401,3.375427301,no,unstressed,2,1,oral,palatalization,p
a prouidencia. Yo me llego a,"por mi mala prouidencia. Yo me llego alla, quedaos vosotros en ",llego,e,yes,e,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,p
 amo quiere: y jamas lloraras d,ro como tu amo quiere: y jamas lloraras duelos agenos. No tomes en,lloraras,s,no,o,yes,3,43.85516102,3.780892409,no,unstressed,0,0,oral,palatalization,p
gas esse bollicio de plazer. ,tes: ni hagas esse bollicio de plazer. que daras causa a que sea,plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
isto es esta; quiero llegar. ,voz de Calisto es esta; quiero llegar. quien habla? quien esta f,llegar,o,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
"do. LUCR.--porque no llegas, ","r tu mandado. LUCR.--porque no llegas, senora? llega sin temor a",llegas,o,yes,e,yes,3,43.85516102,3.780892409,no,stressed,1,0.333333333,oral,palatalization,p
senora? llega s,"o llegas, senora? llega sin temor aca: que aquel c",llega,o,yes,e,yes,49,716.3009634,6.574100419,no,stressed,3,0.06122449,oral,palatalization,p
e venir que passe de claro e,nguna puede venir que passe de claro en claro la fuerza de su m,claro,e,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
n claro l,de claro en claro la fuerza de su muro. Pero,claro,e,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
 desta que tiene las llaues d,mesma boca desta que tiene las llaues de mi perdicion e gloria. ,llaues,s,no,a,yes,2,29.23677401,3.375427301,no,stressed,0,0,oral,palatalization,c
 falsarios? quien es claro e,e no moran falsarios? quien es claro enemigo? quien es verdader,claro,s,no,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
ra lo dissimular. Tu lloras d,"is ojos para lo dissimular. Tu lloras de tristeza, juzgandome cr",lloras,u,no,o,yes,4,58.47354803,4.068574482,no,stressed,2,0.5,oral,palatalization,p
juzgandome cruel: yo lloro d,"tristeza, juzgandome cruel: yo lloro de plazer, viendote tan fi",lloro,o,yes,o,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,palatalization,p
"e plazer, ","yo lloro de plazer, viendote tan fiel. O mi s",plazer,o,yes,o,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
en querer que vn tan flaco e,do hazer: en querer que vn tan flaco e indigno hombre pueda goz,flaco,n,no,a,yes,12,175.4206441,5.16718677,no,stressed,2,0.166666667,oral,preservation,f
lustrantes de tu muy claro g,os rayos ylustrantes de tu muy claro gesto dieron luz en mis oj,claro,y,no,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
ertes cerrojos e mis flacas f,: e sus fuertes cerrojos e mis flacas fuerzas. que ni tu estaria,flacas,s,no,a,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,preservation,f
"ora mia, permite que llame a"," dios, senora mia, permite que llame a mis criados para que las",llame,e,yes,a,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,c
mi bien todo: porque llamas y, senora e mi bien todo: porque llamas yerro aquello que por los ,llamas,e,yes,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,c
" hermano, como esto, plazer h","e viesses, hermano, como esto, plazer haurias: a medio lado: abi",plazer,",",no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"""e al mesonero de la plaza: ","nt Miguel ""e al mesonero de la plaza: e a Mollejar el ortelano?",plaza,a,yes,a,yes,8,116.9470961,4.761721662,no,stressed,7,0.875,oral,preservation,p
tal cosa. pero mucho plazer t,se cometa tal cosa. pero mucho plazer tengo que de tan fiel gent,plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
